# 
# Coordonnées des stations du Réseau GNSS Permanent.
# Elles sont exprimées dans le système de référence légal français, c'est-à-dire :
#  - le RGF93, pour les stations situées en Métropole
#  - le RGAF09, pour les stations situées dans les Antilles
#  - le RGFG95, pour les stations situées en Guyane
#  - le RGR92, pour les stations situées à la Réunion
#  - le RGM04, pour les stations situées à Mayotte
#  - le RGSPM06, pour les stations situées à Saint Pierre et Miquelon
# 
# Après les 3 premières lignes d'en-tête, le format du fichier est le suivant :
#  - SITE      : [ %4s] L'acronyme de la station
#  - X,Y,Z     : [ %12.3f]x3 Les coordonnées cartésiennes exprimées en mètres
#  - lat       : [ %14.9f] La latitude exprimée en "deg.minsec" comptée positivement vers le nord
#  - lon       : [ %14.9f] La longitude exprimée en "deg.minsec" comptée positivement vers l'est
#  - he        : [ %9.3f] La hauteur sur l'ellipsoïde exprimée en mètres
#  - ha        : [ %7.4f] La hauteur d'antenne exprimée en mètres et mesurée depuis le repère jusqu'au plan de réferénce de l'antenne (ARP). La définition de l'ARP dépend du modèle d'antenne. Il est très souvent defini comme etant le BPA (Bottom of Pre-Amplifier)
#  - systeme
#    de ref.   : [ %9s] système de référence dans lequel sont exprimées les coordonnées
#  - statut de
#    stabilité : [     %1s] Le statut de stabilité annuel est un critère de stabilité à long terme (pour de plus amples informations http://rgp.ign.fr/STATIONS/statut_stab.php)
# 
# Ces informations sont valides à la date du 09/05/2019.
# 

 SITE       X            Y            Z            lat            lon          he      ha      systeme    statut de
           (m)          (m)          (m)       (deg.minsec)   (deg.minsec)     (m)     (m)     de ref.    stabilité
 TRIG  4328841.835  -165576.452  4665659.682   47.185587223   -2.112570136    58.203  0.0720     RGF93     N
 TRMO  4568797.439   217443.674  4431416.815   44.170753463    2.432939945   810.908  0.0000     RGF93     B
 TRYS  4241042.103   297441.229  4738831.935   48.173927255    4.004252618   168.354  0.0000     RGF93     B
 TUDA  4639516.978   764908.579  4295569.702   42.361592750    9.214331047   457.646  0.0000     RGF93     B
 UNIX  4474022.741   333375.597  4519009.721   45.235894210    4.154118493   506.033  0.1440     RGF93     N
 UNME  4647640.709   -26415.799  4353754.994   43.191777778   -0.193233481   278.734  0.0000     RGF93     A
 UZER  4483437.566   122520.897  4520232.373   45.245706797    1.335528780   453.707  0.0000     RGF93     N
 VAUD  4338398.588   427436.877  4640534.947   46.585219106    5.373668221   271.509  0.0000     RGF93     A
 VDOM  4291445.036    79187.127  4702187.538   47.480579165    1.032563280   134.684  0.0720     RGF93     A
 VERN  4494475.401   253600.993  4504590.025   45.124053843    3.134617376   944.977  0.0000     RGF93     B
 VFCH  4331862.637   130055.210  4664121.616   47.173909147    1.431081426   153.240  0.0000     RGF93     B
 VILD  4491435.555   436094.594  4493821.064   45.042352177    5.324463863  1022.657  0.0000     RGF93     N
 VIN1  4291474.667   272023.220  4695041.903   47.422061596    3.373701542   164.311  0.0000     RGF93     B
 VISN  4553849.979   394343.419  4433760.104   44.191147474    4.565717971   245.746  0.0000     RGF93     A
 VLGN  4148099.229  -108022.865  4827662.477   49.303670977   -1.293023812    90.951  0.0000     RGF93     B
 VLPL  4206157.626   -90606.839  4778085.441   48.493601650   -1.140256107   258.501  0.0000     RGF93     B
 VNTE  4151126.783   201562.700  4822156.393   49.260068816    2.464756314   137.436  0.0000     RGF93     B
 VOUR  4449990.897   372170.187  4539271.526   45.394172343    4.465068161   324.863  0.0000     RGF93     B
 VOUZ  4145233.396   340230.547  4819493.116   49.234704613    4.413184326   167.496  0.0000     RGF93     N
 VRCT  4312822.910   385852.422  4667762.275   47.202864162    5.064475359   276.751  0.0000     RGF93     N
 WLBH  4206976.331   542754.655  4748254.372   48.245460433    7.210465933   819.073  0.0000     RGF93     B
 YPOR  4130168.186    23140.415  4844107.449   49.441673477    0.191564380   134.175  0.0720     RGF93     B


# Fichier créé à partir d'un état de la base de données du RGP au 09/05/2019
